gene_short_name	L_FPKM	R_FPKM	F_FPKM	S_FPKM
ATCG00070,ATCG00080,ATCG00090,ATCG00100,ATCG00110,ATCG00130,ATCG00180,ATCG00200,ATCG00210	19.0329	0.66605	7.68878	21.4854
ATCG00260	0	0	0	0
ATCG00270,ATCG00280	18.4937	1.5618	16.6805	30.5738
ATCG00290	0	0	0	0
ATCG00300	3.60043	0.558516	4.3171	7.32351
ATCG00310	0	0	0	0
ATCG00370	0	0	0	0
ATCG00400	1.58865	0.277275	1.15946	2.67663
ATCG00410	0	0	0	0
ATCG00460	0	0	0	0
ATCG00490	13.4075	0.377366	18.5354	46.4619
ATCG00500	0.220986	0.256464	0.23214	0.716934
ATCG00510,ATCG00520,ATCG00530,ATCG00540,ATCG00590,ATCG00600,ATCG00630,ATCG00640,ATCG00650	44.2399	1.76155	9.66056	25.3798
ATCG00680	2.79874	0.199547	2.39137	7.17531
ATCG00690	0	0	0	0
ATCG00710	2.13543	0.0730816	1.50985	6.87284
ATCG00720	2.00493	0.191663	1.73413	9.01527
ATCG00730	6.39697	1.17118	2.89732	0.809476
ATCG00860	0.112711	0.0375204	0.119721	0.271365
ATCG00870	0.240745	0.0380601	0.157389	0.381244
ATCG00910	0	0	0	0
ATCG00920	219.2	18.1739	274.389	239.11
ATCG00930	0	0	0	0
ATCG00940	0	0	0	0
ATCG00950	207.988	17.6239	252.444	276.27
ATCG00960	3.06085	0.648226	4.90255	3.48154
ATCG00970	0.683304	0.634988	1.176	2.26158
ATCG00980	0	0	0	0
ATCG01000	0.211869	0.0820459	0.0394084	0.132249
ATCG01020	46.9221	1.66317	12.6228	24.2862
ATCG01030	0	0	0	0
ATCG01040	0.266765	0.0588737	0.155752	0.24692
ATCG01100	0.255408	0.0909283	0.160823	0.392724
ATCG01140	0	0	0	0
ATCG01230	3.56465	0.443831	1.82519	3.10125
ATCG01240	3.50251	0.352617	1.77569	2.68365
ATCG01250	1.38517	0.0690805	0.911817	2.47539
ATCG01260	0	0	0	0
ATCG01290	0	0	0	0
ATCG01300	2.52882	0.146417	1.50799	2.42033
ATCG01310	8.28453	0.734787	4.06178	4.87975
ATCG00010	0	0	0	0
ATCG00020	50.6031	2.17744	32.3826	48.0267
ATCG00030	0	0	0	0
ATCG00040	1.25488	0.157132	1.17775	2.91055
ATCG00050	0.189323	0.0350727	0.203824	0.289297
ATCG00060	0	0	0	0
ATCG00120,ATCG00130,ATCG00140,ATCG00150,ATCG00160,ATCG00170,ATCG00180,ATCG00190	22.533	2.54161	12.874	22.3926
ATCG00220	0.347813	0	0	0
ATCG00230	0	0	0	0
ATCG00240	0	0	0	0
ATCG00250	0	0	0	0
ATCG00320,ATCG00330,ATCG00340,ATCG00350,ATCG00360,ATCG00380	22.6673	2.39425	21.1776	54.3201
ATCG00390	0	0	0	0
ATCG00420	2.40193	0.0845012	1.43635	2.01909
ATCG00430	3.02143	0.0978405	1.30344	2.89839
ATCG00440	1.68267	0.138584	0.751189	2.30494
ATCG00450,ATCG00470,ATCG00480	56.1816	2.04952	22.5172	36.0289
ATCG00065,ATCG00550,ATCG00560,ATCG00570,ATCG00580,ATCG00610,ATCG00620,ATCG00660,ATCG00670	21.618	1.26398	8.76158	24.6292
ATCG00700,ATCG00740,ATCG00750,ATCG00760,ATCG00770,ATCG00780,ATCG00790,ATCG00800,ATCG00810,ATCG00820,ATCG00830,ATCG00840,ATCG00850	55.7013	8.67779	27.2124	39.8607
ATCG00880	0	0	0	0
ATCG00890	1.38517	0.0690805	0.918194	2.48183
ATCG00900	3.43221	0.352617	1.82372	2.69662
ATCG00905	3.56465	0.443831	1.82519	3.10125
ATCG00990	0	0	0	0
ATCG01010	0.28731	0.102233	0.194635	0.578928
ATCG01050	1.41478	0.147505	1.22116	4.8817
ATCG01060	1.99201	0.22839	1.51468	4.93832
ATCG01070	1.2331	0.0949247	0.648727	3.36535
ATCG01080	0.974839	0.119091	0.62633	2.45918
ATCG01090,ATCG01100,ATCG01110,ATCG01120	1.47751	0.332048	0.701215	1.75715
ATCG01130	0.91807	0.269161	0.360077	0.71254
ATCG01150	0	0	0	0
ATCG01160	0.683304	0.634988	1.176	2.26158
ATCG01170	3.06085	0.648226	4.90255	3.48154
ATCG01180	207.967	17.6254	252.276	275.875
